"nombre","slug","categoria_detectada","tipo_cocina","rango_precio","provincia","distrito","corregimiento","direccion","sitio_web","latitud","longitud","horario","rating","cantidad_resenas","delivery","reservas","activo","fuente","query_origen","source_files"
"Casa Catedral | Restaurante","casa-catedral-restaurante-675535","Bar","Restaurante","","Panamá","Panamá","","C. 5a Oeste, Panamá, Provincia de Panamá","https://casacatedralpanama.com/","8.9517577","-79.5345232","Abierto · Cierra a las 10 p. m.","4.6","956","","","True","SerpApi Google Maps","restaurantes en Casco Viejo Panamá","restaurantes_serpapi.csv"
"CasaCasco","casacasco-802885","Bar","Bar restaurante","","Panamá","Panamá","","C. 10 Oeste 15306, Panamá, Provincia de Panamá","http://www.casacasco.com/","8.9515875","-79.53680399999999","Abierto · Cierra a las 12 a. m.","4.5","5273","","","True","SerpApi Google Maps","restaurantes en Ciudad de Panamá","restaurantes_serpapi.csv"
"La 10 - Costa Del Este","la-10-costa-del-este-317852","Bar","Bar restaurante","","Panamá","Panamá","","Costa del Este Panama Desing Center Local 29-30, Panama City","https://instagram.com/la10panama?igshid=MzRlODBiNWFlZA==","9.012650299999999","-79.4674534","Abierto · Cierra a las 12 a. m.","4.2","852","","","True","SerpApi Google Maps","restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv"
"La Pulpería - San Francisco","la-pulperia-san-francisco-561690","Bar","Bar","","Panamá","Panamá","","al lado de Tomillo, C. 71 Este, Panamá, Provincia de Panamá","http://www.lapulperia.com.pa/","8.988936599999999","-79.50786049999999","Abierto · Cierra a las 12 a. m.","4.9","4740","","","True","SerpApi Google Maps","restaurantes en San Francisco Panamá","restaurantes_serpapi.csv"
"La Pulpería | Casco Antiguo","la-pulperia-casco-antiguo-819091","Bar","Restaurante","","Panamá","Panamá","","C. 9a Este, Panamá, Provincia de Panamá","http://www.lapulperia.com.pa/","8.9529563","-79.536307","Abierto · Cierra a las 12 a. m.","4.9","6559","","","True","SerpApi Google Maps","restaurantes en Ciudad de Panamá","restaurantes_serpapi.csv"
"La Rana Dorada Casco","la-rana-dorada-casco-026237","Bar","Cervecería artesanal","","Panamá","Panamá","","Calle 9 con Calle Boquete (Esquina Casco Antiguo","http://www.laranadorada.com/","8.952872","-79.5363236","Abierto · Cierra a las 12 a. m.","4.6","3881","","","True","SerpApi Google Maps","restaurantes en Casco Viejo Panamá","restaurantes_serpapi.csv"
"LUNA ROOFTOP","luna-rooftop-471318","Bar","Bar restaurante","","Panamá","Panamá","","000000, Panamá","https://luna-rooftop.cluvi.co/luna-rooftop/maincategories","8.9850728","-79.52063179999999","Abierto · Cierra a las 12 a. m.","4.6","1377","","","True","SerpApi Google Maps","restaurantes en Ciudad de Panamá","restaurantes_serpapi.csv"
"Restaurante & Bar Portola","restaurante-bar-portola-206060","Bar","Restaurante","","Panamá","Panamá","","XFRW+9F2, C. 75 Este, Panamá, Provincia de Panamá","https://www.instagram.com/portola_restaurant/","8.9908893","-79.5038489","Abierto · Cierra a las 4 a. m.","4.4","1414","","","True","SerpApi Google Maps","restaurantes en San Francisco Panamá","restaurantes_serpapi.csv"
"Vista Corona Panamá","vista-corona-panama-078601","Bar","Bar","","Panamá","Panamá","","Edificio Casa de Oro, Av. A, Rooftop, Panamá Province","http://www.vistacoronapanama.com/","8.9516715","-79.53606309999999","Abierto · Cierra a las 12 a. m.","4.6","441","","","True","SerpApi Google Maps","restaurantes en Casco Viejo Panamá","restaurantes_serpapi.csv"
"Ahumadospty y Smoked Mamma Pty","ahumadospty-y-smoked-mamma-pty-482298","Café","Restaurante","","Panamá","Panamá","","Panamá, Provincia de Panamá","https://wa.me/c/50761216299","8.9883238","-79.50804409999999","Abierto · Cierra a las 10 p. m.","4.7","501","","","True","SerpApi Google Maps","restaurantes en San Francisco Panamá","restaurantes_serpapi.csv"
"Al Alma Café Restaurante - Casa Lefevre, Plaza Catedral","al-alma-cafe-restaurante-casa-lefevre-plaza-catedral-724636","Café","Restaurante","","Panamá","Panamá","","Plaza de la Independencia, C. 5a Este, Panamá, Provincia de Panamá","https://www.alalma.com.pa/","8.952624799999999","-79.5343936","Abierto · Cierra a las 6 p. m.","4.6","824","","","True","SerpApi Google Maps","restaurantes en Ciudad de Panamá","restaurantes_serpapi.csv"
"Café Bilal | Costa del Este","cafe-bilal-costa-del-este-284654","Café","Restaurante","","Panamá","Panamá","","Av. Costa del Mar, Panamá, Provincia de Panamá","","9.011406299999999","-79.4650779","Abierto · Cierra a las 12 a. m.","4.5","858","","","True","SerpApi Google Maps","restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv"
"Gastronomía Buongiorno","gastronomia-buongiorno-421512","Café","Cafetería","","Panamá","Panamá","","N/A, Panamá, Provincia de Panamá","","8.9944584","-79.5059806","Abierto · Cierra a las 6 p. m.","4.9","196","","","True","SerpApi Google Maps","restaurantes en San Francisco Panamá","restaurantes_serpapi.csv"
"La Vasquita – Tartas Vascas, Specialty Coffee & Brunch | Casco Viejo","la-vasquita-tartas-vascas-specialty-coffee-brunch-casco-viejo-963995","Café","Cafetería","","Panamá","Panamá","","Casa Perez, Av. B, Panamá, Provincia de Panamá","http://www.lavasquita.com/","8.9531747","-79.5352728","Abierto · Cierra a las 10 p. m.","4.9","3090","","","True","SerpApi Google Maps","restaurantes en Casco Viejo Panamá","restaurantes_serpapi.csv"
"La Vasquita – Tartas Vascas, Specialty Coffee & Brunch | San Francisco","la-vasquita-tartas-vascas-specialty-coffee-brunch-san-francisco-972166","Café","Cafetería","","Panamá","Panamá","","C. 73 Este, Panamá, Provincia de Panamá","http://www.lavasquita.com/","8.9887043","-79.50576819999999","Abierto · Cierra a las 9:30 p. m.","5.0","320","","","True","SerpApi Google Maps","restaurantes en San Francisco Panamá","restaurantes_serpapi.csv"
"Anti Burger | San Francisco","anti-burger-san-francisco-581570","Hamburguesas","Restaurante","","Panamá","Panamá","","Frente a la Academia de Musica de Panama, Calle 71 San Francisco, Panama City, Panamá Province","http://www.instagram.com/anti.burger","8.9898589","-79.5080266","Abierto · Cierra a las 10 p. m.","4.6","1574","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"BURGER GUYS","burger-guys-006873","Hamburguesas","Hamburguesería","","Panamá","Panamá","","Calle 68 Este, Panama City, Panamá Province","","8.9908892","-79.5105176","Abierto · Cierra a las 9:45 p. m.","4.2","77","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Épicos Panamá","epicos-panama-676703","Hamburguesas","Hamburguesería","","Panamá","Panamá","","C. 62 A Este 80, Panama City, Panamá Province","https://www.facebook.com/epicos.panama/","8.994792499999999","-79.517645","Abierto · Cierra a las 9 p. m.","4.9","126","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Esa Flaca Rica","esa-flaca-rica-832967","Hamburguesas","Hamburguesería","","Panamá","Panamá","","C. Primera H 19001, Panama City, Panamá Province","","9.0091713","-79.4777819","Abierto · Cierra a las 11 p. m.","4.5","244","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Esa Flaca Rica","esa-flaca-rica-157571","Hamburguesas","Restaurante","","Panamá","Panamá","","C. 72 Este 11124, Panamá, Provincia de Panamá","","8.9893927","-79.5076836","Abierto · Cierra a las 11 p. m.","4.5","3562","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá | restaurantes en San Francisco Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Fat lady Costa del Este","fat-lady-costa-del-este-439880","Hamburguesas","Restaurante de comida rápida","","Panamá","Panamá","","Plaza Royal-R, Panamá, Provincia de Panamá","","9.0169718","-79.4644057","Abierto · Cierra a las 9:30 p. m.","4.3","81","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Fosters | Soho City Center","fosters-soho-city-center-151762","Hamburguesas","Hamburguesería","","Panamá","Panamá","","Soho City Center, Panamá, Provincia de Panamá","http://www.fosterspanama.com/","8.983310699999999","-79.5191279","Abierto · Cierra a las 10 p. m.","4.8","2202","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Grazza Smash Burger | San Francisco","grazza-smash-burger-san-francisco-708252","Hamburguesas","Hamburguesería","","Panamá","Panamá","","Spot 74, C. 74 Este, Panamá, Provincia de Panamá","https://www.grazzapanama.com/","8.9916919","-79.505678","Abierto · Cierra a las 10:30 p. m.","5.0","29","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Hamburguesas Vaqueras","hamburguesas-vaqueras-687513","Hamburguesas","Restaurante","","Panamá","Panamá","","C/ 70, Panamá, Provincia de Panamá","","8.9922506","-79.5093248","Abierto · Cierra a las 9 p. m.","4.5","570","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Hamburguesas Vaqueras | Tumba Muerto","hamburguesas-vaqueras-tumba-muerto-579389","Hamburguesas","Hamburguesería","","Panamá","Panamá","","2FJJ+3M7, Galeria Square, Vía Ricardo J. Alfaro, Panamá, Provincia de Panamá","","9.0302574","-79.518236","Abierto las 24 horas","4.1","117","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Hamburguesía Panamá","hamburguesia-panama-628973","Hamburguesas","Hamburguesería","","Panamá","Panamá","","C. 71 Este, Panamá, Provincia de Panamá","https://hamburguesiapanama.com/","8.9880364","-79.50743969999999","Cerrado · Abre a las 12 p. m. del mar","4.6","1096","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"HIDDENS (Find The Flavor)","hiddens-find-the-flavor-976550","Hamburguesas","Hamburguesería","","Panamá","Panamá","","XFQG+32J, C. Alberto Navarro, Panamá, Provincia de Panamá","","8.9877088","-79.5249977","Cerrado · Abre a las 5 p. m.","4.8","117","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Oh My Burger!","oh-my-burger-081574","Hamburguesas","Restaurante","","Panamá","Panamá","","C. 74 Este, Panamá, Provincia de Panamá","","8.9908744","-79.5050146","Abierto · Cierra a las 9:30 p. m.","4.7","274","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Rock Burger San Francisco","rock-burger-san-francisco-258918","Hamburguesas","Hamburguesería","","Panamá","Panamá","","Plaza La Peatonal 68, Panamá, Provincia de Panamá","http://www.rockburgerpanama.com/","8.993829","-79.51110489999999","Abierto · Cierra a las 9:30 p. m.","4.1","316","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Slabón | Costa del Este","slabon-costa-del-este-539275","Hamburguesas","Restaurante","","Panamá","Panamá","","Av. Costa del Mar, Panamá, Provincia de Panamá","http://www.slabonpanama.com/","9.0114527","-79.465136","Abierto · Cierra a las 10 p. m.","4.5","1313","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá | restaurantes en Costa del Este Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Slabón | Obarrio","slabon-obarrio-541776","Hamburguesas","Hamburguesería","","Panamá","Panamá","","59 Plaza Strip, Calle 58 Este, Panamá","http://slabonpanama.com/","8.9880056","-79.51910939999999","Abierto · Cierra a las 10 p. m.","4.5","1655","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Speed 99 Burger","speed-99-burger-841235","Hamburguesas","Hamburguesería","","Panamá","Panamá","","Transístmica, Panamá, Provincia de Panamá","https://www.instagram.com/speed99burger?igsh=OGx2cnRkMGcwNWpp","8.997033499999999","-79.526697","Abierto · Cierra a las 11 p. m.","4.6","98","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá | hot dogs en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Yoss Burger Bar","yoss-burger-bar-816790","Hamburguesas","Hamburguesería","","Panamá","Panamá","","Av. 8 Sur 8201-02, Panamá, Provincia de Panamá","","8.9784419","-79.5124642","Abierto · Cierra a las 11 p. m.","4.7","354","","","True","SerpApi Google Maps","hamburguesas en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Afrodisíaco Italian Modern Kitchen","afrodisiaco-italian-modern-kitchen-785077","Italiana","Restaurante italiano","","Panamá","Panamá","","Av. A, Panamá, Provincia de Panamá","https://www.instagram.com/afrodisiacopty?igsh=MWs5MGFjZm4xeHR5NQ%3D%3D&utm_source=qr","8.951415899999999","-79.5339467","Abre pronto · 5 p. m.","4.9","1406","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"Al Vecchio Forno","al-vecchio-forno-675303","Italiana","Restaurante italiano","","Panamá","Panamá","","Av. Dr. Belisario Porras, Panamá, Provincia de Panamá","","8.996794099999999","-79.50915429999999","Abierto · Cierra a las 10:30 p. m.","4.6","1943","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Arrogante Panamá","arrogante-panama-844427","Italiana","Restaurante italiano","","Panamá","Panamá","","C. 59 Este, Panamá, Provincia de Panamá","https://www.instagram.com/arrogante.panama?igsh=M2Z4dm5ndGt3MGQ3&utm_source=qr","8.9860008","-79.5171642","Abierto · Cierra a las 11 p. m.","4.6","576","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
"ASSISI Restaurant","assisi-restaurant-293599","Italiana","Restaurante italiano","","Panamá","Panamá","","Av. 5 C Sur, Panamá, Provincia de Panamá","http://www.assisirestaurants.com/","8.9884608","-79.5074971","Abierto · Cierra a las 10:30 p. m.","4.5","1271","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | restaurantes en San Francisco Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Casa Stizzoli - Gastroteca Italiana","casa-stizzoli-gastroteca-italiana-148126","Italiana","Restaurante italiano","","Panamá","Panamá","","Calle Matilde De Obarrio de Malex, Panama City, Panamá Province","","8.994634099999999","-79.5072193","Abierto · Cierra a las 10 p. m.","4.6","1260","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá | pizza en Ciudad de Panamá","restaurantes_serpapi.csv | restaurantes_serpapi_v2.csv"
"Da Stefano Trattoria","da-stefano-trattoria-452055","Italiana","Restaurante italiano","","Panamá","Panamá","","Santa María Plaza Entrada del, Sta. Maria Business District, Bussines, Provincia de Panamá","https://dastefanotrattoria.com/","9.0266095","-79.4687105","Abierto · Cierra a las 9 p. m.","4.7","348","","","True","SerpApi Google Maps","comida italiana en Ciudad de Panamá","restaurantes_serpapi_v2.csv"
